# ADC      Events
-18        362       
-14        378       
-10        436       
-6         518       
-2         823       
2          4490      
6          6638      
10         2717      
14         4636      
18         20990     
22         27123     
26         15455     
30         9628      
34         8425      
38         9613      
42         17976     
46         29404     
50         29536     
54         21506     
58         14403     
62         10319     
66         8145      
70         7281      
74         7850      
78         9665      
82         11559     
86         11216     
90         9910      
94         7849      
98         6030      
102        4894      
106        4357      
110        4629      
114        6089      
118        8730      
122        11709     
126        13232     
130        12768     
134        10810     
138        8377      
142        6231      
146        4577      
150        3539      
154        3119      
158        3139      
162        3686      
166        4535      
170        5322      
174        6031      
178        5942      
182        5591      
186        4955      
190        4271      
194        3493      
198        2922      
202        2404      
206        2172      
210        2135      
214        2323      
218        2902      
222        3230      
226        3782      
230        4030      
234        3943      
238        3822      
242        3422      
246        2923      
250        2466      
254        2184      
258        1833      
262        1627      
266        1549      
270        1647      
274        1700      
278        1940      
282        2182      
286        2361      
290        2425      
294        2480      
298        2350      
302        2135      
306        1915      
310        1807      
314        1526      
318        1368      
322        1339      
326        1272      
330        1314      
334        1472      
338        1672      
342        1852      
346        2042      
350        2144      
354        2181      
358        2107      
362        2053      
366        1828      
370        1654      
374        1425      
378        1384      
382        1179      
386        1204      
390        1294      
394        1358      
398        1528      
402        1618      
406        1825      
410        1977      
414        2030      
418        2130      
422        2109      
426        2018      
430        1879      
434        1652      
438        1514      
442        1342      
446        1224      
450        1232      
454        1163      
458        1285      
462        1316      
466        1472      
470        1579      
474        1638      
478        1784      
482        1716      
486        1773      
490        1729      
494        1632      
498        1534      
502        1337      
506        1268      
510        1175      
514        1142      
518        1133      
522        1157      
526        1259      
530        1334      
534        1439      
538        1555      
542        1624      
546        1652      
550        1718      
554        1686      
558        1665      
562        1549      
566        1412      
570        1321      
574        1267      
578        1153      
582        1213      
586        1140      
590        1157      
594        1195      
598        1240      
602        1227      
606        1328      
610        1403      
614        1429      
618        1484      
622        1438      
626        1339      
630        1380      
634        1238      
638        1238      
642        1115      
646        1026      
650        1044      
654        1039      
658        1035      
662        1128      
666        1186      
670        1246      
674        1302      
678        1361      
682        1387      
686        1448      
690        1377      
694        1373      
698        1329      
702        1291      
706        1255      
710        1244      
714        1119      
718        1072      
722        1042      
726        1062      
730        995       
734        992       
738        1045      
742        1036      
746        1128      
750        1087      
754        1146      
758        1172      
762        1106      
766        1156      
770        1137      
774        1051      
778        1021      
782        958       
786        961       
790        905       
794        894       
798        846       
802        785       
806        868       
810        846       
814        840       
818        891       
822        924       
826        1010      
830        967       
834        997       
838        989       
842        976       
846        953       
850        956       
854        935       
858        913       
862        913       
866        843       
870        866       
874        836       
878        769       
882        745       
886        777       
890        839       
894        771       
898        804       
902        807       
906        828       
910        903       
914        864       
918        878       
922        931       
926        885       
930        863       
934        891       
938        848       
942        858       
946        751       
950        802       
954        735       
958        639       
962        711       
966        729       
970        718       
974        706       
978        732       
982        748       
986        770       
990        790       
994        803       
998        755       
1002       881       
1006       846       
1010       825       
1014       821       
1018       778       
1022       787       
1026       745       
1030       717       
1034       709       
1038       669       
1042       619       
1046       642       
1050       595       
1054       645       
1058       657       
1062       638       
1066       639       
1070       661       
1074       677       
1078       720       
1082       683       
1086       661       
1090       691       
1094       731       
1098       708       
1102       641       
1106       616       
1110       673       
1114       609       
1118       606       
1122       563       
1126       571       
1130       564       
1134       558       
1138       552       
1142       547       
1146       526       
1150       563       
1154       588       
1158       620       
1162       637       
1166       691       
1170       664       
1174       615       
1178       637       
1182       650       
1186       636       
1190       586       
1194       617       
1198       568       
1202       536       
1206       501       
1210       516       
1214       489       
1218       502       
1222       499       
1226       447       
1230       485       
1234       513       
1238       497       
1242       510       
1246       489       
1250       505       
1254       528       
1258       494       
1262       526       
1266       496       
1270       493       
1274       454       
1278       498       
1282       447       
1286       448       
1290       454       
1294       421       
1298       406       
1302       423       
1306       360       
1310       397       
1314       399       
1318       382       
1322       357       
1326       436       
1330       349       
1334       414       
1338       396       
1342       379       
1346       410       
1350       407       
1354       439       
1358       406       
1362       380       
1366       414       
1370       380       
1374       356       
1378       406       
1382       355       
1386       322       
1390       338       
1394       328       
1398       305       
1402       321       
1406       300       
1410       284       
1414       322       
1418       289       
1422       293       
1426       293       
1430       329       
1434       300       
1438       288       
1442       323       
1446       306       
1450       296       
1454       301       
1458       297       
1462       300       
1466       281       
1470       287       
1474       273       
1478       255       
1482       267       
1486       248       
1490       228       
1494       225       
1498       218       
1502       227       
1506       213       
1510       222       
1514       220       
1518       204       
1522       226       
1526       228       
1530       221       
1534       206       
1538       219       
1542       220       
1546       228       
1550       254       
1554       218       
1558       193       
1562       201       
1566       194       
1570       179       
1574       209       
1578       191       
1582       173       
1586       166       
1590       159       
1594       150       
